scenario,replicate,semester,cumulative_k
Small lab,149,3,2.721
Small lab,150,1,0.906
Small lab,150,2,1.852
Small lab,150,3,2.739
Small lab,151,1,0.961
Small lab,151,2,1.869
Small lab,151,3,2.801
Small lab,152,1,0.875
Small lab,152,2,1.768
Small lab,152,3,2.714
Small lab,153,1,0.968
Small lab,153,2,1.927
Small lab,153,3,2.9
Small lab,154,1,0.965
Small lab,154,2,1.876
Small lab,154,3,2.836
Small lab,155,1,0.905
Small lab,155,2,1.816
Small lab,155,3,2.78
Small lab,156,1,0.917
Small lab,156,2,1.857
Small lab,156,3,2.81
Small lab,157,1,0.921
Small lab,157,2,1.852
Small lab,157,3,2.783
Small lab,158,1,0.959
Small lab,158,2,1.892
Small lab,158,3,2.809
Small lab,159,1,0.939
Small lab,159,2,1.829
Small lab,159,3,2.816
Small lab,160,1,0.951
Small lab,160,2,1.865
Small lab,160,3,2.833
Small lab,161,1,0.945
Small lab,161,2,1.921
Small lab,161,3,2.882
Small lab,162,1,0.922
Small lab,162,2,1.853
Small lab,162,3,2.815
Small lab,163,1,0.914
Small lab,163,2,1.837
Small lab,163,3,2.783
Small lab,164,1,0.928
Small lab,164,2,1.908
Small lab,164,3,2.873
Small lab,165,1,0.875
Small lab,165,2,1.834
Small lab,165,3,2.757
Small lab,166,1,0.98
Small lab,166,2,1.926
Small lab,166,3,2.902
Small lab,167,1,0.934
Small lab,167,2,1.864
Small lab,167,3,2.827
Small lab,168,1,0.959
Small lab,168,2,1.893
Small lab,168,3,2.877
Small lab,169,1,0.933
Small lab,169,2,1.86
Small lab,169,3,2.872
Small lab,170,1,0.904
Small lab,170,2,1.853
Small lab,170,3,2.757
Small lab,171,1,0.921
Small lab,171,2,1.846
Small lab,171,3,2.767
Small lab,172,1,0.934
Small lab,172,2,1.916
Small lab,172,3,2.863
Small lab,173,1,0.947
Small lab,173,2,1.882
Small lab,173,3,2.878
Small lab,174,1,0.902
Small lab,174,2,1.825
Small lab,174,3,2.777
Small lab,175,1,0.928
Small lab,175,2,1.89
Small lab,175,3,2.797
Small lab,176,1,0.966
Small lab,176,2,1.951
Small lab,176,3,2.85
Small lab,177,1,0.908
Small lab,177,2,1.831
Small lab,177,3,2.724
Small lab,178,1,0.904
Small lab,178,2,1.818
Small lab,178,3,2.803
Small lab,179,1,0.986
Small lab,179,2,1.888
Small lab,179,3,2.814
Small lab,180,1,0.917
Small lab,180,2,1.86
Small lab,180,3,2.793
Small lab,181,1,0.971
Small lab,181,2,1.938
Small lab,181,3,2.833
Small lab,182,1,0.923
Small lab,182,2,1.881
Small lab,182,3,2.828
Small lab,183,1,0.895
Small lab,183,2,1.778
Small lab,183,3,2.716
Small lab,184,1,0.959
Small lab,184,2,1.873
Small lab,184,3,2.836
Small lab,185,1,0.956
Small lab,185,2,1.913
Small lab,185,3,2.85
Small lab,186,1,0.974
Small lab,186,2,1.933
Small lab,186,3,2.836
Small lab,187,1,0.915
Small lab,187,2,1.837
Small lab,187,3,2.775
Small lab,188,1,0.968
Small lab,188,2,1.922
Small lab,188,3,2.846
Small lab,189,1,0.943
Small lab,189,2,1.843
Small lab,189,3,2.785
Small lab,190,1,0.959
Small lab,190,2,1.902
Small lab,190,3,2.849
Small lab,191,1,0.978
Small lab,191,2,1.913
Small lab,191,3,2.85
Small lab,192,1,0.889
Small lab,192,2,1.807
Small lab,192,3,2.704
Small lab,193,1,0.922
Small lab,193,2,1.863
Small lab,193,3,2.749
Small lab,194,1,0.943
Small lab,194,2,1.815
Small lab,194,3,2.759
Small lab,195,1,0.927
Small lab,195,2,1.826
Small lab,195,3,2.759
Small lab,196,1,0.973
Small lab,196,2,1.955
Small lab,196,3,2.874
Small lab,197,1,0.952
Small lab,197,2,1.863
Small lab,197,3,2.785
Small lab,198,1,0.925
Small lab,198,2,1.896
Small lab,198,3,2.795
Small lab,199,1,0.946
Small lab,199,2,1.925
Small lab,199,3,2.883
Small lab,200,1,0.878
Small lab,200,2,1.85
Small lab,200,3,2.796
Small lab,201,1,0.999
Small lab,201,2,1.91
Small lab,201,3,2.833
Small lab,202,1,0.9
Small lab,202,2,1.847
Small lab,202,3,2.793
Small lab,203,1,0.915
Small lab,203,2,1.851
Small lab,203,3,2.801
Small lab,204,1,0.887
Small lab,204,2,1.874
Small lab,204,3,2.81
Small lab,205,1,0.891
Small lab,205,2,1.84
Small lab,205,3,2.786
Small lab,206,1,0.9
Small lab,206,2,1.878
Small lab,206,3,2.832
Small lab,207,1,0.969
Small lab,207,2,1.859
Small lab,207,3,2.759
Small lab,208,1,0.949
Small lab,208,2,1.905
Small lab,208,3,2.865
Small lab,209,1,0.941
Small lab,209,2,1.919
Small lab,209,3,2.883
Small lab,210,1,0.973
Small lab,210,2,1.883
Small lab,210,3,2.744
Small lab,211,1,0.942
Small lab,211,2,1.904
Small lab,211,3,2.842
Small lab,212,1,0.944
Small lab,212,2,1.842
Small lab,212,3,2.811
Small lab,213,1,0.944
Small lab,213,2,1.852
Small lab,213,3,2.859
Small lab,214,1,0.978
Small lab,214,2,1.944
Small lab,214,3,2.84
Small lab,215,1,0.943
Small lab,215,2,1.877
Small lab,215,3,2.802
Small lab,216,1,0.943
Small lab,216,2,1.907
Small lab,216,3,2.778
Small lab,217,1,0.945
Small lab,217,2,1.842
Small lab,217,3,2.765
Small lab,218,1,0.949
Small lab,218,2,1.905
Small lab,218,3,2.855
Small lab,219,1,0.934
Small lab,219,2,1.85
Small lab,219,3,2.78
Small lab,220,1,0.958
Small lab,220,2,1.933
Small lab,220,3,2.814
Small lab,221,1,0.947
Small lab,221,2,1.866
Small lab,221,3,2.793
Small lab,222,1,0.956
Small lab,222,2,1.885
Small lab,222,3,2.859
Small lab,223,1,0.918
Small lab,223,2,1.857
Small lab,223,3,2.879
Small lab,224,1,0.998
Small lab,224,2,1.902
Small lab,224,3,2.865
Small lab,225,1,0.903
Small lab,225,2,1.85
Small lab,225,3,2.73
Small lab,226,1,0.955
Small lab,226,2,1.863
Small lab,226,3,2.783
Small lab,227,1,0.929
Small lab,227,2,1.885
Small lab,227,3,2.838
Small lab,228,1,0.945
Small lab,228,2,1.84
Small lab,228,3,2.769
Small lab,229,1,0.966
Small lab,229,2,1.922
Small lab,229,3,2.86
Small lab,230,1,0.886
Small lab,230,2,1.787
Small lab,230,3,2.725
Small lab,231,1,0.936
Small lab,231,2,1.875
Small lab,231,3,2.843
Small lab,232,1,0.943
Small lab,232,2,1.95
Small lab,232,3,2.891
Small lab,233,1,0.939
Small lab,233,2,1.869
Small lab,233,3,2.811
Small lab,234,1,0.95
Small lab,234,2,1.89
Small lab,234,3,2.813
Small lab,235,1,0.925
Small lab,235,2,1.838
Small lab,235,3,2.795
Small lab,236,1,0.969
Small lab,236,2,1.879
Small lab,236,3,2.796
Small lab,237,1,0.923
Small lab,237,2,1.873
Small lab,237,3,2.853
Small lab,238,1,0.928
Small lab,238,2,1.829
Small lab,238,3,2.77
Small lab,239,1,0.919
Small lab,239,2,1.894
Small lab,239,3,2.866
Small lab,240,1,0.916
Small lab,240,2,1.879
Small lab,240,3,2.868
Small lab,241,1,0.928
Small lab,241,2,1.819
Small lab,241,3,2.752
Small lab,242,1,0.913
Small lab,242,2,1.837
Small lab,242,3,2.791
Small lab,243,1,0.9
Small lab,243,2,1.872
Small lab,243,3,2.831
Small lab,244,1,0.899
Small lab,244,2,1.809
Small lab,244,3,2.775
Small lab,245,1,0.913
Small lab,245,2,1.818
Small lab,245,3,2.766
Small lab,246,1,0.982
Small lab,246,2,1.966
Small lab,246,3,2.928
Small lab,247,1,0.899
Small lab,247,2,1.84
Small lab,247,3,2.775
Small lab,248,1,0.898
Small lab,248,2,1.739
Small lab,248,3,2.677
Small lab,249,1,0.937
Small lab,249,2,1.881
Small lab,249,3,2.797
Small lab,250,1,0.974
Small lab,250,2,1.895
Small lab,250,3,2.831
Small lab,251,1,0.921
Small lab,251,2,1.884
Small lab,251,3,2.744
Small lab,252,1,0.94
Small lab,252,2,1.854
Small lab,252,3,2.763
Small lab,253,1,0.993
Small lab,253,2,1.97
Small lab,253,3,2.866
Small lab,254,1,0.983
Small lab,254,2,1.917
Small lab,254,3,2.867
Small lab,255,1,0.956
Small lab,255,2,1.846
Small lab,255,3,2.779
Small lab,256,1,0.935
Small lab,256,2,1.786
Small lab,256,3,2.695
Small lab,257,1,0.906
Small lab,257,2,1.804
Small lab,257,3,2.759
Small lab,258,1,0.862
Small lab,258,2,1.849
Small lab,258,3,2.795
Small lab,259,1,0.938
Small lab,259,2,1.873
Small lab,259,3,2.791
Small lab,260,1,0.969
Small lab,260,2,1.885
Small lab,260,3,2.847
Small lab,261,1,0.968
Small lab,261,2,1.908
Small lab,261,3,2.857
Small lab,262,1,0.961
Small lab,262,2,1.895
Small lab,262,3,2.837
Small lab,263,1,0.961
Small lab,263,2,1.885
Small lab,263,3,2.822
Small lab,264,1,0.964
Small lab,264,2,1.947
Small lab,264,3,2.901
Small lab,265,1,1.01
Small lab,265,2,1.944
Small lab,265,3,2.885
Small lab,266,1,0.899
Small lab,266,2,1.842
Small lab,266,3,2.723
Small lab,267,1,0.974
Small lab,267,2,1.938
Small lab,267,3,2.934
Small lab,268,1,0.892
Small lab,268,2,1.775
Small lab,268,3,2.685
Small lab,269,1,0.945
Small lab,269,2,1.914
Small lab,269,3,2.832
Small lab,270,1,0.894
Small lab,270,2,1.768
Small lab,270,3,2.693
Small lab,271,1,0.931
Small lab,271,2,1.863
Small lab,271,3,2.877
Small lab,272,1,0.932
Small lab,272,2,1.911
Small lab,272,3,2.842
Small lab,273,1,0.946
Small lab,273,2,1.878
Small lab,273,3,2.778
Small lab,274,1,0.928
Small lab,274,2,1.879
Small lab,274,3,2.788
Small lab,275,1,0.945
Small lab,275,2,1.957
Small lab,275,3,2.873
Small lab,276,1,0.931
Small lab,276,2,1.869
Small lab,276,3,2.793
Small lab,277,1,0.942
Small lab,277,2,1.901
Small lab,277,3,2.815
Small lab,278,1,0.873
Small lab,278,2,1.8
Small lab,278,3,2.768
Small lab,279,1,0.952
Small lab,279,2,1.93
Small lab,279,3,2.825
Small lab,280,1,0.962
Small lab,280,2,1.89
Small lab,280,3,2.873
Small lab,281,1,0.909
Small lab,281,2,1.796
Small lab,281,3,2.71
Small lab,282,1,0.843
Small lab,282,2,1.792
Small lab,282,3,2.726
Small lab,283,1,0.899
Small lab,283,2,1.847
Small lab,283,3,2.766
Small lab,284,1,0.922
Small lab,284,2,1.852
Small lab,284,3,2.729
Small lab,285,1,0.926
Small lab,285,2,1.85
Small lab,285,3,2.839
Small lab,286,1,0.95
Small lab,286,2,1.861
Small lab,286,3,2.804
Small lab,287,1,0.925
Small lab,287,2,1.886
Small lab,287,3,2.774
Small lab,288,1,0.915
Small lab,288,2,1.85
Small lab,288,3,2.843
Small lab,289,1,0.975
Small lab,289,2,1.964
Small lab,289,3,2.896
Small lab,290,1,0.91
Small lab,290,2,1.866
Small lab,290,3,2.8
Small lab,291,1,0.972
Small lab,291,2,1.939
Small lab,291,3,2.845
Small lab,292,1,0.93
Small lab,292,2,1.901
Small lab,292,3,2.85
Small lab,293,1,0.938
Small lab,293,2,1.873
Small lab,293,3,2.855
Small lab,294,1,0.954
Small lab,294,2,1.981
Small lab,294,3,2.953
Small lab,295,1,0.952
Small lab,295,2,1.962
Small lab,295,3,2.876
Small lab,296,1,0.931
Small lab,296,2,1.928
Small lab,296,3,2.879
Small lab,297,1,0.954
Small lab,297,2,1.957
Small lab,297,3,2.887
Small lab,298,1,0.871
Small lab,298,2,1.866
Small lab,298,3,2.802
Small lab,299,1,0.916
Small lab,299,2,1.903
Small lab,299,3,2.847
Small lab,300,1,0.884
Small lab,300,2,1.833
Small lab,300,3,2.804
Small lab,301,1,0.904
Small lab,301,2,1.863
Small lab,301,3,2.774
Small lab,302,1,0.942
Small lab,302,2,1.881
Small lab,302,3,2.785
Small lab,303,1,0.922
Small lab,303,2,1.892
Small lab,303,3,2.809
Small lab,304,1,0.935
Small lab,304,2,1.92
Small lab,304,3,2.84
Small lab,305,1,0.922
Small lab,305,2,1.809
Small lab,305,3,2.743
Small lab,306,1,0.931
Small lab,306,2,1.855
Small lab,306,3,2.83
Small lab,307,1,0.879
Small lab,307,2,1.809
Small lab,307,3,2.766
Small lab,308,1,0.932
Small lab,308,2,1.878
Small lab,308,3,2.764
Small lab,309,1,0.963
Small lab,309,2,1.899
Small lab,309,3,2.774
Small lab,310,1,0.963
Small lab,310,2,1.91
Small lab,310,3,2.84
Small lab,311,1,0.944
Small lab,311,2,1.909
Small lab,311,3,2.893
Small lab,312,1,0.969
Small lab,312,2,1.925
Small lab,312,3,2.832
Small lab,313,1,0.95
Small lab,313,2,1.928
Small lab,313,3,2.907
Small lab,314,1,0.883
Small lab,314,2,1.774
Small lab,314,3,2.712
Small lab,315,1,0.901
Small lab,315,2,1.798
Small lab,315,3,2.75
Small lab,316,1,0.969
Small lab,316,2,1.929
Small lab,316,3,2.827
Small lab,317,1,0.92
Small lab,317,2,1.85
Small lab,317,3,2.788
Small lab,318,1,0.94
Small lab,318,2,1.924
Small lab,318,3,2.85
Small lab,319,1,0.983
Small lab,319,2,1.932
Small lab,319,3,2.931
Small lab,320,1,0.972
Small lab,320,2,1.929
Small lab,320,3,2.893
Small lab,321,1,0.906
Small lab,321,2,1.888
Small lab,321,3,2.837
Small lab,322,1,0.897
Small lab,322,2,1.809
Small lab,322,3,2.7
Small lab,323,1,0.953
Small lab,323,2,1.889
Small lab,323,3,2.844
Small lab,324,1,0.887
Small lab,324,2,1.85
Small lab,324,3,2.803
Small lab,325,1,0.944
Small lab,325,2,1.856
Small lab,325,3,2.778
Small lab,326,1,0.919
Small lab,326,2,1.818
Small lab,326,3,2.791
Small lab,327,1,0.965
Small lab,327,2,1.884
Small lab,327,3,2.844
Small lab,328,1,0.931
Small lab,328,2,1.833
Small lab,328,3,2.825
Small lab,329,1,0.948
Small lab,329,2,1.873
Small lab,329,3,2.884
Small lab,330,1,0.934
Small lab,330,2,1.856
Small lab,330,3,2.794
Small lab,331,1,1.002
Small lab,331,2,1.93
Small lab,331,3,2.835
Small lab,332,1,0.974
Small lab,332,2,1.925
Small lab,332,3,2.879
Small lab,333,1,0.954
Small lab,333,2,1.911
Small lab,333,3,2.846
Small lab,334,1,0.954
Small lab,334,2,1.851
Small lab,334,3,2.84
Small lab,335,1,0.934
Small lab,335,2,1.859
Small lab,335,3,2.785
Small lab,336,1,0.943
Small lab,336,2,1.831
Small lab,336,3,2.78
Small lab,337,1,0.899
Small lab,337,2,1.894
Small lab,337,3,2.781
Small lab,338,1,0.962
Small lab,338,2,1.929
Small lab,338,3,2.864
Small lab,339,1,0.936
Small lab,339,2,1.873
Small lab,339,3,2.808
Small lab,340,1,0.942
Small lab,340,2,1.864
Small lab,340,3,2.757
Small lab,341,1,0.919
